Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bulgaria,BGR,7010,7260,7490,7590,7700,7430,7400,7610,8530,9500
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burkina Faso,BFA,650,680,730,770,760,700,680,670,750,770
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burundi,BDI,220,230,250,260,260,260,260,260,250,240
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cabo Verde,CPV,3400,3510,3440,3490,3360,3210,3130,3080,3400,3630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cambodia,KHM,750,810,880,970,1020,1060,1140,1230,1380,1530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cameroon,CMR,1400,1420,1420,1480,1540,1500,1440,1390,1490,1540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,44490,47190,51080,52800,52200,47590,43890,42900,45080,46540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Caribbean small states,CSS,8962.46033719484,8808.92981873963,9497.06385222448,9894.70477656426,9889.08061092394,9895.47485218464,9364.2311646255,9371.60647089773,9640.75946344452,10027.456183241
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cayman Islands,CYM,70220,71050,49570,44030,42930,44380,48240,52840,59480,66880
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Central African Republic,CAF,510,530,570,380,390,400,410,440,490,520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Central Europe and the Baltics,CEB,12818.9859271522,12940.9227580643,13085.7860012346,13428.5333829452,13568.3378442905,13258.4303745629,12867.236621437,13090.4442525389,14665.1805348533,15933.9461315133
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,910,890,960,970,980,880,730,640,680,700
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chile,CHL,10790,11930,14270,15180,14770,14130,13340,13260,14580,14900
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,4340,5040,5910,6740,7470,7890,8210,8670,9540,10310
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Colombia,COL,5630,6320,7290,7960,8210,7330,6460,5940,6270,6570
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Comoros,COM,1380,1410,1420,1490,1490,1380,1320,1280,1370,1380
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Dem. Rep.",COD,320,340,380,410,440,460,470,460,500,530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Rep.",COG,2750,2710,3500,3750,3990,3100,2220,1700,1790,1810
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Costa Rica,CRI,7260,8090,9280,9930,10350,10700,11100,11500,11970,12120
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cote d'Ivoire,CIV,1230,1110,1240,1350,2020,2050,2050,2030,2180,2290
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Croatia,HRV,14220,14230,13610,13760,13500,13270,12680,12980,14410,15540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cuba,CUB,5200,5630,6110,6640,6840,7230,7480,7950,8630,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Curacao,CUW,..,..,..,19890,19760,19520,19030,18960,19430,19700
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cyprus,CYP,32040,32550,29680,27830,26530,26010,24720,24960,27330,28600
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Czech Republic,CZE,19400,19460,19440,19410,18900,18370,17670,18310,20560,22110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Denmark,DNK,61220,61990,61650,63200,63670,60510,58040,56690,61260,63460
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Djibouti,DJI,..,..,..,..,..,2540,2640,2730,2910,3110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Dominica,DMA,6730,6920,6850,6700,7040,6920,7270,7270,7800,8210
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Dominican Republic,DOM,5330,5540,5790,6030,6330,6580,6860,7090,7780,8100
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Early-demographic dividend,EAR,2794.61074115554,3011.39646228251,3304.11377072441,3427.03280114147,3457.64323166445,3336.23982637304,3297.3136770411,3356.65862186891,3524.05566105181,3583.57225728639
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,East Asia & Pacific,EAS,7362.61427356094,8171.85185951216,9137.01904564552,9730.28863785911,9951.48415592898,9831.57147902454,9907.04529329226,10242.7151311271,11108.8970228457,11702.6754085493
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,3755.32160071509,4342.45436799393,5078.2914778995,5707.12778966166,6205.49539990709,6455.55940415309,6662.47405853509,7001.5623284897,7680.85263745823,8266.72217438276
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,3798.09820176587,4391.77681512784,5135.75214589506,5771.48346949312,6275.23998448055,6527.88756676961,6736.89451282923,7079.51832816746,7766.19477956563,8358.45335823533
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ecuador,ECU,4400,4880,5390,5810,6110,5970,5800,5860,6090,6090
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Egypt, Arab Rep.",EGY,2370,2560,2840,3030,3230,3340,3440,3030,2790,2690
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,El Salvador,SLV,2880,3060,3210,3350,3400,3440,3510,3600,3820,3980
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Equatorial Guinea,GNQ,9970,11540,13870,14030,13230,10850,8270,6510,6730,6320
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eritrea,ERI,510,600,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Estonia,EST,14580,15840,16760,18140,18880,18570,18290,18760,21200,23050
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eswatini,SWZ,3460,3860,4310,4420,4130,3800,3450,3390,3620,3710
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ethiopia,ETH,380,390,410,470,550,600,670,740,800,850
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Euro area,EMU,39883.0734303935,40383.3333827017,39315.35864471,39502.2846514266,39387.497160966,37740.7098224641,36359.2237188488,35888.5077258854,38870.6447910394,40312.1050536951
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Europe & Central Asia,ECS,24606.4713666245,25069.7323083309,25378.9895577678,26068.4580401325,26091.5974231955,24726.1200793451,23416.2875830608,22917.6295051068,24467.2729647858,25378.3396798714
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,7414.59474099456,8083.71330167992,9345.99285442432,10322.4210871649,10198.9143583345,8828.14777657489,7652.59149231914,7315.6019927577,7693.82460537324,8050.97345337605
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,7997.87509215611,8581.80261105843,9687.24686677666,10571.0844790946,10491.6544364984,9279.26238991132,8206.79185500416,7936.52499029184,8446.51787951771,8911.24550567235
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,European Union,EUU,34804.5848769181,35262.6702171978,34543.2744288995,34848.9770025338,34817.7778259631,33421.9762658544,32200.3926871901,31865.2726818601,34588.9882336518,36005.2587887779
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Fiji,FJI,3650,3770,4140,4710,5020,5100,5280,5370,5910,5800
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Finland,FIN,49750,50260,48970,49510,49420,47180,45530,44840,48220,49940
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Fragile and conflict affected situations,FCS,2146.00978590432,2022.05291717091,2186.61277151156,2246.33563478987,2295.85606703707,2028.74936716875,1868.03269095143,1769.37158551708,1757.63284955723,1824.28379536428
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,France,FRA,43970,44440,43410,43800,43340,41130,39100,38320,41200,42550
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Gabon,GAB,7850,8120,9090,9330,9330,7970,7080,6510,6830,7170
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Gambia, The",GMB,890,760,760,730,650,620,620,660,720,750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Georgia,GEO,3210,3520,4150,4530,4740,4410,4080,4040,4460,4690
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Germany,DEU,44680,47320,46560,47220,47640,45780,44280,43760,47470,49190
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ghana,GHA,1240,1380,1530,1840,1880,1940,1810,1880,2120,2230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Greece,GRC,27610,24560,23180,22430,22010,20190,18640,17960,19080,19670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Grenada,GRD,6940,7060,7030,7350,7520,7750,8350,8740,9610,9750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guatemala,GTM,2730,2910,3160,3380,3550,3700,3870,4100,4400,4610
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea,GIN,690,680,700,700,740,760,780,820,860,950
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea-Bissau,GNB,580,640,630,640,640,640,650,680,720,800
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guyana,GUY,4510,4820,5290,5540,5570,5470,5600,5910,6290,6630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Haiti,HTI,1130,1240,1300,1390,1430,1410,1360,1340,1410,1390
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,783.653846945433,819.1784956732,861.264073391683,915.895585976056,979.277427484407,972.427645331394,961.429240264603,974.181061156424,976.419431013861,992.561498149362
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,High income,HIC,39344.1388106561,40657.5953522159,42001.709178159,42814.2384529903,42973.3916309879,41753.3900609787,40885.146539535,41181.5564898598,44073.222123883,45604.7584975013
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Honduras,HND,1740,1880,1970,2010,2010,2060,2120,2250,2330,2390
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Hong Kong SAR, China",HKG,33620,35690,36340,38570,40240,41180,42970,46380,50050,50480
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Hungary,HUN,13270,13260,13090,13520,13560,13230,13100,13190,14980,16520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Iceland,ISL,36270,37610,40690,46960,48090,49940,54910,60230,67760,72900
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA & IBRD total,IBT,3481.42547719853,3838.84214633283,4324.15356118574,4658.22575608303,4805.64590492651,4658.66596093022,4558.7709657871,4643.03215680153,4967.56938526995,5207.67130343961
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA only,IDX,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA total,IDA,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1220,1360,1480,1520,1560,1600,1680,1820,2010,2100
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Indonesia,IDN,2530,3010,3580,3730,3620,3430,3400,3530,3840,4050
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Iran, Islamic Rep.",IRN,6250,7020,7660,7530,6960,5710,5730,5750,5110,4260
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Iraq,IRQ,4580,4960,6310,7050,6750,5800,5340,4640,5040,5780
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ireland,IRL,44850,42220,40730,43510,46410,50390,51810,53350,59350,63300
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Isle of Man,IMN,71570,74390,82210,87840,89000,83990,78860,78810,83660,83920
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Israel,ISR,29770,31760,32540,34670,36300,36200,36540,37970,41320,43540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Italy,ITA,37960,37980,36220,35570,34910,33000,31970,31380,33850,34940
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Jamaica,JAM,4390,4590,4980,5010,4910,4700,4600,4750,5010,5250
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Japan,JPN,43910,47470,50060,48850,44440,39380,38460,38930,41770,42010
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Jordan,JOR,3520,3620,3720,3830,3920,3950,4000,4080,4270,4410
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kazakhstan,KAZ,7440,8280,9940,11840,12080,11380,8770,8040,8070,8820
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kenya,KEN,920,1000,1050,1110,1230,1300,1460,1510,1680,1830
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kiribati,KIR,2040,2090,2620,2980,3200,3450,2800,2930,3170,3440
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Korea, Rep.",KOR,22290,23590,25660,26980,28160,28720,29330,30300,32750,33830
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kosovo,XKX,3150,3390,3540,3800,3910,3930,3930,3950,4300,4640
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kuwait,KWT,42490,43790,49690,53060,51000,41820,35330,31400,33710,36200
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kyrgyz Republic,KGZ,850,880,1040,1190,1250,1180,1110,1110,1220,1240
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lao PDR,LAO,1000,1140,1370,1610,1830,1980,2130,2260,2490,2540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Late-demographic dividend,LTE,5768.62114292589,6501.71637895677,7474.05412697205,8268.55963769086,8670.56146118036,8494.83703739145,8337.24107771201,8543.54149635447,9337.93853409794,10006.0476625278
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Latin America & Caribbean,LCN,8040.84581267756,8856.32216336157,9782.41362016686,10195.9844430685,10083.0813014451,9122.30093473327,8407.50010346202,8295.67058490361,8626.96424849315,8722.61934610076
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,7619.21307581567,8458.28580343224,9346.89173160202,9790.2559923569,9612.90302211588,8783.01417992311,8047.0303200385,7911.64549757574,8188.05564084735,8253.94081212748
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8004.48084558297,8829.13098196073,9765.20062547228,10177.8312461515,10058.1978030475,9064.99352633891,8325.4189302107,8200.75802804966,8523.60423540041,8611.68210682246
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Latvia,LVA,12650,12740,13800,14850,15340,15110,14800,14870,16550,17810
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Least developed countries: UN classification,LDC,776.70024098349,833.410119017772,907.564626118434,983.550391274676,1031.52107330279,1010.6683573469,996.160990439882,1030.71828916425,1074.99531615091,1120.98236162203
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lebanon,LBN,7470,7560,7560,7650,7540,7290,7220,7460,7590,7280
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lesotho,LSO,1270,1360,1500,1460,1350,1310,1270,1190,1230,1330
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Liberia,LBR,460,520,570,650,650,650,640,640,630,610
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Libya,LBY,12230,6110,12900,11470,9070,8380,7730,9900,11180,10200
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lithuania,LTU,12570,13320,14100,15340,16070,15190,14890,15280,17470,19060
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Low & middle income,LMY,3310.04506509365,3668.24348939301,4148.64925276045,4485.13482694556,4629.52763347916,4506.50315189364,4414.13658541344,4497.77641184816,4806.56245986804,5035.94434770631
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Low income,LIC,1073.25328366814,887.570758528333,781.572639104865,758.134348593883,782.426840092,759.810046345748,748.271741849984,759.06188051367,716.852411942431,719.102579059179
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lower middle income,LMC,1668.81853356761,1843.95824082315,2058.83403920752,2165.80763882697,2206.57253962337,2159.11491960186,2166.8662919211,2219.50086303714,2356.28004833963,2428.43044362638
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Luxembourg,LUX,77640,79210,87950,85160,86760,73530,73730,75800,79540,77110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Macao SAR, China",MAC,45260,54490,60790,69510,72140,62090,63710,69950,76460,75820
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Madagascar,MDG,470,480,500,520,520,490,470,470,500,520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Malawi,MWI,450,490,460,410,370,350,340,380,440,560
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Malaysia,MYS,8260,9050,10180,10840,11140,10680,10150,9950,10650,11260
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Maldives,MDV,5960,6590,6630,6800,7320,7650,8070,8600,9210,9640
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mali,MLI,700,730,730,780,810,800,780,770,830,860
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Malta,MLT,21370,22120,22160,23370,24560,25230,23440,24710,27950,29330
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Marshall Islands,MHL,3550,3570,3470,3880,4040,4290,4250,4440,4840,5050
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mauritania,MRT,1500,1600,1760,1850,1750,1640,1510,1530,1640,1720
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mauritius,MUS,8080,8400,9550,10520,10820,10700,10640,10980,12270,12840
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mexico,MEX,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,2900,3070,3150,3180,3150,3490,3410,3450,3400,3940
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Middle East & North Africa,MEA,7402.15511391561,7613.38397626718,8427.37912750777,8814.42518726347,8767.82394810284,8090.31366538879,7683.85856994281,7312.53967747733,7522.81840641288,7644.5726394276
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,4519.00227459414,4371.81176618571,4720.8098693431,4765.69734237986,4611.02029126733,4163.41862517798,4063.73861605164,3878.91177217644,3770.90586781506,3631.99596561753
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,4542.13650553212,4389.14874872805,4738.50969824388,4780.91171439749,4623.43892600692,4169.2905456146,4065.69087523473,3878.30223739636,3765.85646341822,3624.17230150345
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Middle income,MIC,3540.50530649918,3956.47226349427,4501.23130322636,4880.26049977796,5043.02837185157,4914.93635893797,4819.58271231662,4917.35158595316,5272.17687493376,5535.19709718096
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Moldova,MDA,2380,2730,3140,3620,3740,3300,3180,3330,3920,4580
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mongolia,MNG,2000,2590,3650,4330,4210,3800,3490,3240,3690,3850
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Montenegro,MNE,6920,7260,7000,7330,7320,7260,7090,7410,8450,9140
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Morocco,MAR,2930,3000,2980,3090,3060,3020,2880,2880,3090,3200
