Series Name,Series Code,Country Name,Country Code,2010 [YR2010]
"Population, total",SP.POP.TOTL,Germany,DEU,81776930
"Population, total",SP.POP.TOTL,Ghana,GHA,24779614
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33585
"Population, total",SP.POP.TOTL,Greece,GRC,11121341
"Population, total",SP.POP.TOTL,Greenland,GRL,56905
"Population, total",SP.POP.TOTL,Grenada,GRD,106227
"Population, total",SP.POP.TOTL,Guam,GUM,159439
"Population, total",SP.POP.TOTL,Guatemala,GTM,14259687
"Population, total",SP.POP.TOTL,Guinea,GIN,10192168
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1522603
"Population, total",SP.POP.TOTL,Guyana,GUY,749430
"Population, total",SP.POP.TOTL,Haiti,HTI,9949318
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,624219296
"Population, total",SP.POP.TOTL,High income,HIC,1178066137
"Population, total",SP.POP.TOTL,Honduras,HND,8317467
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7024200
"Population, total",SP.POP.TOTL,Hungary,HUN,10000023
"Population, total",SP.POP.TOTL,IBRD only,IBD,..
"Population, total",SP.POP.TOTL,Iceland,ISL,318041
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,5792386087
"Population, total",SP.POP.TOTL,IDA blend,IDB,..
"Population, total",SP.POP.TOTL,IDA only,IDX,..
"Population, total",SP.POP.TOTL,IDA total,IDA,..
"Population, total",SP.POP.TOTL,India,IND,1234281163
"Population, total",SP.POP.TOTL,Indonesia,IDN,241834226
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,73762519
"Population, total",SP.POP.TOTL,Iraq,IRQ,29741977
"Population, total",SP.POP.TOTL,Ireland,IRL,4560155
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84856
"Population, total",SP.POP.TOTL,Israel,ISR,7623600
"Population, total",SP.POP.TOTL,Italy,ITA,59277417
"Population, total",SP.POP.TOTL,Jamaica,JAM,2810464
"Population, total",SP.POP.TOTL,Japan,JPN,128070000
"Population, total",SP.POP.TOTL,Jordan,JOR,7261541
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16321872
"Population, total",SP.POP.TOTL,Kenya,KEN,42030684
"Population, total",SP.POP.TOTL,Kiribati,KIR,102930
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24548840
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49554112
"Population, total",SP.POP.TOTL,Kosovo,XKX,1775680
"Population, total",SP.POP.TOTL,Kuwait,KWT,2991884
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5447900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6249168
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2180813069
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,589932530
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,531056827
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,573800616
"Population, total",SP.POP.TOTL,Latvia,LVA,2097555
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,836378625
"Population, total",SP.POP.TOTL,Lebanon,LBN,4953064
"Population, total",SP.POP.TOTL,Lesotho,LSO,1995575
"Population, total",SP.POP.TOTL,Liberia,LBR,3891357
"Population, total",SP.POP.TOTL,Libya,LBY,6197667
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35996
"Population, total",SP.POP.TOTL,Lithuania,LTU,3097282
"Population, total",SP.POP.TOTL,Low & middle income,LMY,5715348512
"Population, total",SP.POP.TOTL,Low income,LIC,527389304
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2869900017
"Population, total",SP.POP.TOTL,Luxembourg,LUX,506953
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,538215
"Population, total",SP.POP.TOTL,Madagascar,MDG,21151640
"Population, total",SP.POP.TOTL,Malawi,MWI,14539609
"Population, total",SP.POP.TOTL,Malaysia,MYS,28208028
"Population, total",SP.POP.TOTL,Maldives,MDV,365730
"Population, total",SP.POP.TOTL,Mali,MLI,15049352
"Population, total",SP.POP.TOTL,Malta,MLT,414508
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,56361
"Population, total",SP.POP.TOTL,Mauritania,MRT,3494200
"Population, total",SP.POP.TOTL,Mauritius,MUS,1250400
"Population, total",SP.POP.TOTL,Mexico,MEX,114092961
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,102916
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,385917928
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,332777842
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,328991681
"Population, total",SP.POP.TOTL,Middle income,MIC,5187959208
"Population, total",SP.POP.TOTL,Moldova,MDA,2861487
"Population, total",SP.POP.TOTL,Monaco,MCO,35609
"Population, total",SP.POP.TOTL,Mongolia,MNG,2719902
"Population, total",SP.POP.TOTL,Montenegro,MNE,619428
"Population, total",SP.POP.TOTL,Morocco,MAR,32343384
"Population, total",SP.POP.TOTL,Mozambique,MOZ,23531567
"Population, total",SP.POP.TOTL,Myanmar,MMR,50600827
"Population, total",SP.POP.TOTL,Namibia,NAM,2118877
"Population, total",SP.POP.TOTL,Nauru,NRU,10009
"Population, total",SP.POP.TOTL,Nepal,NPL,27013207
"Population, total",SP.POP.TOTL,Netherlands,NLD,16615394
"Population, total",SP.POP.TOTL,New Caledonia,NCL,249750
"Population, total",SP.POP.TOTL,New Zealand,NZL,4350700
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5824058
"Population, total",SP.POP.TOTL,Niger,NER,16464025
"Population, total",SP.POP.TOTL,Nigeria,NGA,158503203
"Population, total",SP.POP.TOTL,North America,NAC,343397156
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2055004
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,53971
"Population, total",SP.POP.TOTL,Norway,NOR,4889252
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1292110708
"Population, total",SP.POP.TOTL,Oman,OMN,3041435
"Population, total",SP.POP.TOTL,Other small states,OSS,26050929
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2214509
"Population, total",SP.POP.TOTL,Pakistan,PAK,179424643
"Population, total",SP.POP.TOTL,Palau,PLW,17954
"Population, total",SP.POP.TOTL,Panama,PAN,3642691
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7310512
"Population, total",SP.POP.TOTL,Paraguay,PRY,6248017
"Population, total",SP.POP.TOTL,Peru,PER,29027680
"Population, total",SP.POP.TOTL,Philippines,PHL,93966784
"Population, total",SP.POP.TOTL,Poland,POL,38042794
"Population, total",SP.POP.TOTL,Portugal,PRT,10573100
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1074863836
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,731868780
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3721525
"Population, total",SP.POP.TOTL,Qatar,QAT,1856329
"Population, total",SP.POP.TOTL,Romania,ROU,20246871
"Population, total",SP.POP.TOTL,Russian Federation,RUS,142849468
"Population, total",SP.POP.TOTL,Rwanda,RWA,10039338
"Population, total",SP.POP.TOTL,Samoa,WSM,185944
"Population, total",SP.POP.TOTL,San Marino,SMR,31221
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,180372
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,27421468
"Population, total",SP.POP.TOTL,Senegal,SEN,12678143
"Population, total",SP.POP.TOTL,Serbia,SRB,7291436
"Population, total",SP.POP.TOTL,Seychelles,SYC,89770
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6415636
"Population, total",SP.POP.TOTL,Singapore,SGP,5076732
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,34056
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5391428
"Population, total",SP.POP.TOTL,Slovenia,SVN,2048583
"Population, total",SP.POP.TOTL,Small states,SST,35238631
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,527861
"Population, total",SP.POP.TOTL,Somalia,SOM,12043886
"Population, total",SP.POP.TOTL,South Africa,ZAF,51216967
"Population, total",SP.POP.TOTL,South Asia,SAS,1638792927
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1638792927
"Population, total",SP.POP.TOTL,South Sudan,SSD,9508372
"Population, total",SP.POP.TOTL,Spain,ESP,46576897
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20261738
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,49011
"Population, total",SP.POP.TOTL,St. Lucia,LCA,174092
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37582
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,108260
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,869025115
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,868935345
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,869025115
"Population, total",SP.POP.TOTL,Sudan,SDN,34545014
"Population, total",SP.POP.TOTL,Suriname,SUR,529126
"Population, total",SP.POP.TOTL,Sweden,SWE,9378126
"Population, total",SP.POP.TOTL,Switzerland,CHE,7824909
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,21362541
"Population, total",SP.POP.TOTL,Tajikistan,TJK,7527397
"Population, total",SP.POP.TOTL,Tanzania,TZA,44346532
"Population, total",SP.POP.TOTL,Thailand,THA,67195032
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1093517
"Population, total",SP.POP.TOTL,Togo,TGO,6421674
"Population, total",SP.POP.TOTL,Tonga,TON,103981
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1328144
"Population, total",SP.POP.TOTL,Tunisia,TUN,10635245
"Population, total",SP.POP.TOTL,Turkiye,TUR,72326992
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5087211
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,32658
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10521
"Population, total",SP.POP.TOTL,Uganda,UGA,32428164
"Population, total",SP.POP.TOTL,Ukraine,UKR,45870741
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8549998
"Population, total",SP.POP.TOTL,United Kingdom,GBR,62766365
"Population, total",SP.POP.TOTL,United States,USA,309327143
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2318059191
"Population, total",SP.POP.TOTL,Uruguay,URY,3359273
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,28562400
"Population, total",SP.POP.TOTL,Vanuatu,VUT,236216
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28439942
"Population, total",SP.POP.TOTL,Vietnam,VNM,87967655
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108357
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,3786161
"Population, total",SP.POP.TOTL,World,WLD,6921854591
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,23154854
"Population, total",SP.POP.TOTL,Zambia,ZMB,13605986
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,12697728
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.74661463795293
Population growth (annual %),SP.POP.GROW,Africa Eastern and Southern,AFE,2.74740956025077
Population growth (annual %),SP.POP.GROW,Africa Western and Central,AFW,2.7873725353495
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.49646196338738
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.80500474736452
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.04826295347074
Population growth (annual %),SP.POP.GROW,Andorra,AND,-0.008288192290815
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.67149333263444
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,1.47279415442432
Population growth (annual %),SP.POP.GROW,Arab World,ARB,2.38321483027832
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.752217992640236
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.373954889662394
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.20973141399036
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.55548958906995
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.240394299500766
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.18978770786007
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.51478477511973
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,4.60018474525212
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.1248068966134
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.363612230788636
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.218522755959381
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.913639391631709
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.45178026956863
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.80597623284658
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.783118104363585
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.051899559473
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.64358106824134
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-0.818853335966774
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.70592328995544
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.937959306704135
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,2.77598026181127
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.22507149994452
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.658275446635908
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,3.01921284414061
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.25619646076404
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.22066926970069
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.53915213466393
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.74773375136593
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.11186407517168
Population growth (annual %),SP.POP.GROW,Caribbean small states,CSS,0.689442961507453
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.41276783222714
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.12655511715726
Population growth (annual %),SP.POP.GROW,Central Europe and the Baltics,CEB,-0.361666299699507
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.33466929345193
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.963188270893047
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.03891170046699
Population growth (annual %),SP.POP.GROW,China,CHN,0.482959688678361
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.05064996242948
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.41327037744548
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.33113330807202
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,3.04895683882158
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,1.24493397923295
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.33453614556572
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.226821270818422
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.0078209400275259
Population growth (annual %),SP.POP.GROW,Curacao,CUW,1.26551415533004
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,1.31435017990175
Population growth (annual %),SP.POP.GROW,Czech Republic,CZE,0.29136167418042
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.444197154509531
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.48370781049189
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.0409243258489963
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.22855325822389
Population growth (annual %),SP.POP.GROW,Early-demographic dividend,EAR,1.52282062146607
Population growth (annual %),SP.POP.GROW,East Asia & Pacific,EAS,0.676314793294381
Population growth (annual %),SP.POP.GROW,East Asia & Pacific (excluding high income),EAP,0.713952784552262
Population growth (annual %),SP.POP.GROW,East Asia & Pacific (IDA & IBRD countries),TEA,0.716800707666664
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.58940945340249
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.98480507963281
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.424566261779668
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,4.55859753598786
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,1.60620728106538
Population growth (annual %),SP.POP.GROW,Estonia,EST,-0.22805796852935
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,0.695379475450237
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.78375692665143
Population growth (annual %),SP.POP.GROW,Euro area,EMU,0.23574335028826
Population growth (annual %),SP.POP.GROW,Europe & Central Asia,ECS,0.390690539138077
Population growth (annual %),SP.POP.GROW,Europe & Central Asia (excluding high income),ECA,0.574768039765388
Population growth (annual %),SP.POP.GROW,Europe & Central Asia (IDA & IBRD countries),TEC,0.437868981383986
Population growth (annual %),SP.POP.GROW,European Union,EUU,0.139394235979154
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,-0.0230084609400646
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.721353944911169
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.457494535465831
Population growth (annual %),SP.POP.GROW,Fragile and conflict affected situations,FCS,2.34324635431955
Population growth (annual %),SP.POP.GROW,France,FRA,0.494040602950225
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.448745827848425
Population growth (annual %),SP.POP.GROW,Gabon,GAB,3.45914677152663
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.99568796782189
Population growth (annual %),SP.POP.GROW,Georgia,GEO,-0.729475256932528
Population growth (annual %),SP.POP.GROW,Germany,DEU,-0.153198446937304
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.48700897388359
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,0.0685064139857829
Population growth (annual %),SP.POP.GROW,Greece,GRC,0.128880432668041
Population growth (annual %),SP.POP.GROW,Greenland,GRL,1.02802332572502
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.415067525443612
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.129914569643424
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.83655642844003
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.25938161116451
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.57341352656849
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.228701604144641
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.53210280667313
Population growth (annual %),SP.POP.GROW,Heavily indebted poor countries (HIPC),HPC,2.81720564779226
Population growth (annual %),SP.POP.GROW,High income,HIC,0.642976577371329
Population growth (annual %),SP.POP.GROW,Honduras,HND,2.02441331695389
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.734446396338105
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.226013875689698
Population growth (annual %),SP.POP.GROW,IBRD only,IBD,..
Population growth (annual %),SP.POP.GROW,Iceland,ISL,-0.143903000294037
Population growth (annual %),SP.POP.GROW,IDA & IBRD total,IBT,1.30435012272652
Population growth (annual %),SP.POP.GROW,IDA blend,IDB,..
Population growth (annual %),SP.POP.GROW,IDA only,IDX,..
Population growth (annual %),SP.POP.GROW,IDA total,IDA,..
Population growth (annual %),SP.POP.GROW,India,IND,1.35033831370532
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.3377824768766
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.14215042395487
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.61896343035427
Population growth (annual %),SP.POP.GROW,Ireland,IRL,0.544884384079014
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.563714672676353
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.82675240987847
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.30759122234095
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.521735381598588
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.0179605415195644
Population growth (annual %),SP.POP.GROW,Jordan,JOR,5.20482327869944
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.41327147745347
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.7225900011839
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.96417541978949
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.492066889676383
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.49822508440111
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,0.803248961277754
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,5.87973235396896
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.19286442880631
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.62205058536827
Population growth (annual %),SP.POP.GROW,Late-demographic dividend,LTE,0.599159894567762
Population growth (annual %),SP.POP.GROW,Latin America & Caribbean,LCN,1.11453109472404
Population growth (annual %),SP.POP.GROW,Latin America & Caribbean (excluding high income),LAC,1.11247366692233
Population growth (annual %),SP.POP.GROW,Latin America & the Caribbean (IDA & IBRD countries),TLA,1.14774165336932
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-2.08130508988111
Population growth (annual %),SP.POP.GROW,Least developed countries: UN classification,LDC,2.36035174045213
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,2.86803826418261
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,0.27297537342346
Population growth (annual %),SP.POP.GROW,Liberia,LBR,3.59016390667023
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.03279845585375
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.76130821279276
